,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-14,1,0.0,1.0,0.0
2020-02-15,2,0.301,2.0,0.301
2020-02-16,3,0.477,3.0,0.477
2020-02-17,4,0.602,4.0,0.602
2020-02-18,5,0.699,5.0,0.699
2020-02-19,6,0.778,6.0,0.778
2020-02-20,7,0.845,7.0,0.845
2020-02-21,9,0.954,8.0,0.903
2020-02-22,13,1.114,11.0,1.041
2020-02-23,15,1.176,12.0,1.079
2020-02-25,18,1.255,13.0,1.114
2020-02-26,23,1.362,17.0,1.23
2020-02-27,25,1.398,18.0,1.255
2020-02-28,26,1.415,17.0,1.23
2020-02-29,27,1.431,14.0,1.146
2020-03-01,30,1.477,15.0,1.176
2020-03-03,39,1.591,21.0,1.322
2020-03-04,47,1.672,24.0,1.38
2020-03-05,55,1.74,30.0,1.477
2020-03-06,60,1.778,34.0,1.531
2020-03-07,67,1.826,40.0,1.602
2020-03-08,78,1.892,48.0,1.681
2020-03-09,84,1.924,54.0,1.732
2020-03-10,97,1.987,58.0,1.763
2020-03-11,102,2.009,55.0,1.74
2020-03-12,109,2.037,54.0,1.732
2020-03-13,112,2.049,52.0,1.716
2020-03-14,119,2.076,52.0,1.716
2020-03-16,121,2.083,37.0,1.568
2020-03-17,123,2.09,26.0,1.415
2020-03-18,128,2.107,26.0,1.415
2020-03-19,132,2.121,23.0,1.362
2020-03-20,138,2.14,26.0,1.415
2020-03-21,140,2.146,21.0,1.322
2020-03-22,143,2.155,24.0,1.38
2020-03-23,145,2.161,24.0,1.38
2020-03-24,148,2.17,25.0,1.398
2020-03-25,154,2.188,26.0,1.415
2020-03-26,157,2.196,25.0,1.398
2020-03-27,160,2.204,22.0,1.342
2020-03-28,163,2.212,23.0,1.362
2020-03-29,166,2.22,23.0,1.362
2020-03-30,169,2.228,24.0,1.38
2020-03-31,179,2.253,31.0,1.491
2020-04-01,183,2.262,29.0,1.462
2020-04-02,190,2.279,33.0,1.519
2020-04-03,202,2.305,42.0,1.623
2020-04-04,220,2.342,57.0,1.756
2020-04-05,227,2.356,61.0,1.785
2020-04-06,238,2.377,69.0,1.839
2020-04-07,259,2.413,80.0,1.903
2020-04-08,281,2.449,98.0,1.991
