,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-13,1,0.0,1.0,0.0
2020-02-14,3,0.477,3.0,0.477
2020-02-15,11,1.041,11.0,1.041
2020-02-16,15,1.176,15.0,1.176
2020-02-18,18,1.255,18.0,1.255
2020-02-19,21,1.322,21.0,1.322
2020-02-20,22,1.342,21.0,1.322
2020-02-21,25,1.398,22.0,1.342
2020-02-22,27,1.431,16.0,1.204
2020-02-24,32,1.505,17.0,1.23
2020-02-26,35,1.544,14.0,1.146
2020-02-28,36,1.556,11.0,1.041
2020-02-29,38,1.58,11.0,1.041
2020-03-01,40,1.602,13.0,1.114
2020-03-03,41,1.613,9.0,0.954
2020-03-04,45,1.653,10.0,1.0
2020-03-05,53,1.724,18.0,1.255
2020-03-06,59,1.771,23.0,1.362
2020-03-07,64,1.806,26.0,1.415
2020-03-10,67,1.826,26.0,1.415
2020-03-11,73,1.863,28.0,1.447
2020-03-12,75,1.875,22.0,1.342
2020-03-13,77,1.886,18.0,1.255
2020-03-14,86,1.934,22.0,1.342
2020-03-15,90,1.954,26.0,1.415
2020-03-17,102,2.009,35.0,1.544
2020-03-18,109,2.037,36.0,1.556
2020-03-19,117,2.068,42.0,1.623
2020-03-20,128,2.107,51.0,1.708
2020-03-21,137,2.137,51.0,1.708
2020-03-22,140,2.146,50.0,1.699
2020-03-23,157,2.196,67.0,1.826
2020-03-24,174,2.241,72.0,1.857
2020-03-25,217,2.336,108.0,2.033
2020-03-26,242,2.384,125.0,2.097
2020-03-27,286,2.456,158.0,2.199
2020-03-28,350,2.544,213.0,2.328
2020-03-29,420,2.623,280.0,2.447
2020-03-30,434,2.637,277.0,2.442
2020-03-31,515,2.712,341.0,2.533
2020-04-01,581,2.764,364.0,2.561
2020-04-02,682,2.834,440.0,2.643
2020-04-03,773,2.888,487.0,2.688
2020-04-04,890,2.949,540.0,2.732
2020-04-05,1034,3.015,614.0,2.788
2020-04-06,1119,3.049,685.0,2.836
2020-04-07,1203,3.08,688.0,2.838
2020-04-08,1348,3.13,767.0,2.885
