2020-01-30,1,0.0,1.0,0.0
2020-02-04,2,0.3010299956639812,2.0,0.3010299956639812
2020-03-03,3,0.47712125471966244,1.0,0.0
2020-03-04,5,0.6989700043360189,3.0,0.47712125471966244
2020-03-06,6,0.7781512503836436,4.0,0.6020599913279624
2020-03-07,7,0.8450980400142568,5.0,0.6989700043360189
2020-03-09,11,1.0413926851582251,9.0,0.9542425094393249
2020-03-10,12,1.0791812460476249,9.0,0.9542425094393249
2020-03-11,14,1.146128035678238,9.0,0.9542425094393249
2020-03-12,16,1.2041199826559248,11.0,1.0413926851582251
2020-03-17,18,1.255272505103306,6.0,0.7781512503836436
2020-03-18,20,1.3010299956639813,6.0,0.7781512503836436
2020-03-20,21,1.3222192947339193,5.0,0.6989700043360189
2020-03-21,22,1.3424226808222062,6.0,0.7781512503836436
2020-03-22,23,1.3617278360175928,7.0,0.8450980400142568
2020-03-23,24,1.380211241711606,8.0,0.9030899869919435
2020-03-24,26,1.414973347970818,8.0,0.9030899869919435
2020-03-25,30,1.4771212547196624,10.0,1.0
2020-03-26,33,1.5185139398778875,13.0,1.1139433523068367
2020-03-28,37,1.568201724066995,15.0,1.1760912590556813
2020-03-29,44,1.6434526764861874,21.0,1.3222192947339193
2020-03-30,64,1.806179973983887,40.0,1.6020599913279623
2020-03-31,67,1.8260748027008264,41.0,1.6127838567197355
2020-04-01,74,1.8692317197309762,44.0,1.6434526764861874
2020-04-02,86,1.9344984512435677,53.0,1.724275869600789
2020-04-03,104,2.0170333392987803,71.0,1.8512583487190752
2020-04-04,117,2.0681858617461617,80.0,1.9030899869919435
2020-04-05,122,2.0863598306747484,78.0,1.8920946026904804
2020-04-06,130,2.113943352306837,66.0,1.8195439355418688
