2020-01-31,1,0.0,1.0,0.0
2020-02-13,2,0.3010299956639812,1.0,0.0
2020-02-20,3,0.47712125471966244,1.0,0.0
2020-02-21,6,0.7781512503836436,4.0,0.6020599913279624
2020-02-22,7,0.8450980400142568,5.0,0.6989700043360189
2020-02-25,9,0.9542425094393249,7.0,0.8450980400142568
2020-02-26,10,1.0,8.0,0.9030899869919435
2020-02-27,11,1.0413926851582251,8.0,0.9030899869919435
2020-03-01,12,1.0791812460476249,5.0,0.6989700043360189
2020-03-03,13,1.1139433523068367,4.0,0.6020599913279624
2020-03-05,14,1.146128035678238,3.0,0.47712125471966244
2020-03-06,18,1.255272505103306,7.0,0.8450980400142568
2020-03-07,19,1.2787536009528289,8.0,0.9030899869919435
2020-03-08,20,1.3010299956639813,8.0,0.9030899869919435
2020-03-10,23,1.3617278360175928,10.0,1.0
2020-03-11,25,1.3979400086720377,12.0,1.0791812460476249
2020-03-12,27,1.4313637641589874,13.0,1.1139433523068367
2020-03-13,29,1.462397997898956,11.0,1.0413926851582251
2020-03-17,31,1.4913616938342726,8.0,0.9030899869919435
2020-03-18,33,1.5185139398778875,8.0,0.9030899869919435
2020-03-19,36,1.5563025007672873,9.0,0.9542425094393249
2020-03-20,37,1.568201724066995,8.0,0.9030899869919435
2020-03-22,39,1.591064607026499,10.0,1.0
2020-03-24,44,1.6434526764861874,13.0,1.1139433523068367
2020-03-25,48,1.6812412373755872,15.0,1.1760912590556813
2020-03-26,51,1.7075701760979363,15.0,1.1760912590556813
2020-03-27,59,1.7708520116421442,22.0,1.3424226808222062
2020-03-28,122,2.0863598306747484,85.0,1.9294189257142926
2020-03-29,164,2.214843848047698,125.0,2.0969100130080562
2020-03-30,170,2.230448921378274,131.0,2.1172712956557644
2020-03-31,179,2.2528530309798933,135.0,2.130333768495006
2020-04-01,185,2.2671717284030137,137.0,2.1367205671564067
2020-04-02,197,2.294466226161593,146.0,2.164352855784437
2020-04-03,226,2.3541084391474008,167.0,2.2227164711475833
2020-04-04,244,2.387389826338729,122.0,2.0863598306747484
2020-04-05,263,2.419955748489758,99.0,1.99563519459755
2020-04-06,265,2.423245873936808,95.0,1.9777236052888478
