2020-02-26,1,0.0,1.0,0.0
2020-03-17,2,0.3010299956639812,1.0,0.0
2020-03-22,4,0.6020599913279624,3.0,0.47712125471966244
2020-03-23,7,0.8450980400142568,6.0,0.7781512503836436
2020-03-24,10,1.0,8.0,0.9030899869919435
2020-03-25,11,1.0413926851582251,9.0,0.9542425094393249
2020-03-26,14,1.146128035678238,12.0,1.0791812460476249
2020-03-27,16,1.2041199826559248,14.0,1.146128035678238
2020-03-28,18,1.255272505103306,16.0,1.2041199826559248
2020-03-29,19,1.2787536009528289,15.0,1.1760912590556813
2020-03-30,23,1.3617278360175928,16.0,1.2041199826559248
2020-03-31,24,1.380211241711606,14.0,1.146128035678238
2020-04-01,29,1.462397997898956,18.0,1.255272505103306
2020-04-02,35,1.5440680443502757,21.0,1.3222192947339193
2020-04-03,38,1.5797835966168101,22.0,1.3424226808222062
2020-04-04,45,1.6532125137753437,27.0,1.4313637641589874
2020-04-05,56,1.7481880270062005,37.0,1.568201724066995
